File Creation Date,2025-05-29
Sampling Location,

Surface layer,,,Bottom layer,,
,H-3,,,H-3,
Date and time of Sampling,Dt,ND,Date and time of Sampling,Dt,ND
2024/11/12,0.17,,2024/11/12,0.14,
2024/09/11,0.14,,2024/09/11,0.12,
2024/05/21,0.15,,2024/05/21,0.1,
2024/01/31,0.035,,2024/01/31,0.056,
2023/09/13,0.1,,2023/09/13,0.062,
2023/05/31,0.079,,2023/05/31,0.056,
2023/01/18,0.074,,2023/01/18,0.085,
2022/11/01,0.063,,2022/11/01,0.07,
2022/08/30,0.12,,2022/08/30,0.078,
2022/06/29,0.1,,2022/06/29,0.079,
