File Creation Date,2025-12-01
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/12/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.29,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.29,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/05,Flatfish (muscle),H-3,,0.29,Bq/kg
2024/02/01,Roundnose flounder (muscle),H-3,,0.23,Bq/kg
2024/02/01,Roundnose flounder (muscle),H-3,,0.23,Bq/kg
2023/12/06,Willowy flounder (muscle),H-3,,0.22,Bq/kg
2023/12/06,Willowy flounder (muscle),H-3,,0.22,Bq/kg
2023/11/29,Red sea bream (muscle),H-3,,0.27,Bq/kg
2023/11/29,Littlemouth flounder (muscle),H-3,,0.27,Bq/kg
2023/11/29,Littlemouth flounder (muscle),H-3,,0.22,Bq/kg
2023/09/20,Searobin (muscle),H-3,,0.25,Bq/kg
2023/09/20,Stone flounder (muscle),H-3,,0.27,Bq/kg
2023/08/01,Flatfish (muscle),H-3,,0.23,Bq/kg
2023/08/01,Flatfish (muscle),H-3,,0.23,Bq/kg
2022/11/16,Flatfish (muscle),H-3,,0.35,Bq/kg
2022/11/16,Flatfish (muscle),H-3,,0.25,Bq/kg
2022/10/06,Tiger puffer (muscle),H-3,,0.26,Bq/kg
2022/09/26,Rikuzen flounder (muscle),H-3,,0.25,Bq/kg
2022/09/26,Rikuzen flounder (muscle),H-3,,0.29,Bq/kg
2022/08/24,Flatfish (muscle),H-3,,0.23,Bq/kg
2022/08/24,Red sea bream (muscle),H-3,,0.23,Bq/kg
2022/08/24,Sebastes cheni (muscle),H-3,,0.24,Bq/kg
2022/08/09,Fox jacopever (muscle),H-3,,0.27,Bq/kg
2022/08/08,Flatfish (muscle),H-3,,0.24,Bq/kg
2022/08/08,Red sea bream (muscle),H-3,,0.24,Bq/kg
2022/07/26,Sea bass (muscle),H-3,,0.23,Bq/kg
2022/07/11,Sea bass (muscle),H-3,,0.23,Bq/kg
