File Creation Date,2026-01-14
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/7/10,Gulf weed,Cs-134,,0.27,Bq/kg-fresh
2025/7/10,Gulf weed,Cs-137,5.4,,Bq/kg-fresh
2025/5/14,Gulf weed,Cs-134,,0.27,Bq/kg-fresh
2025/5/14,Gulf weed,Cs-137,6.3,,Bq/kg-fresh
2025/3/20,Gulf weed,Cs-134,,0.25,Bq/kg-fresh
2025/3/20,Gulf weed,Cs-137,5.6,,Bq/kg-fresh
2024/7/25,Gulf weed,Cs-134,,0.28,Bq/kg-fresh
2024/7/25,Gulf weed,Cs-137,6.6,,Bq/kg-fresh
2024/5/23,Gulf weed,Cs-134,,0.23,Bq/kg-fresh
2024/5/23,Gulf weed,Cs-137,1.6,,Bq/kg-fresh
2024/3/14,Gulf weed,Cs-134,,0.33,Bq/kg-fresh
2024/3/14,Gulf weed,Cs-137,13,,Bq/kg-fresh
2023/7/4,Gulf weed,Cs-134,,0.24,Bq/kg-fresh
2023/7/4,Gulf weed,Cs-137,7.7,,Bq/kg-fresh
2023/5/19,Gulf weed,Cs-134,,0.19,Bq/kg-fresh
2023/5/19,Gulf weed,Cs-137,2.1,,Bq/kg-fresh
2023/4/21,Gulf weed,Cs-134,,0.21,Bq/kg-fresh
2023/4/21,Gulf weed,Cs-137,0.89,,Bq/kg-fresh
2023/3/24,Gulf weed,Cs-134,,0.20,Bq/kg-fresh
2023/3/24,Gulf weed,Cs-137,1.8,,Bq/kg-fresh
2022/8/18,Gulf weed,Cs-134,,0.17,Bq/kg-fresh
2022/8/18,Gulf weed,Cs-137,2.4,,Bq/kg-fresh
2022/7/13,Gulf weed,Cs-134,0.13,,Bq/kg-fresh
2022/7/13,Gulf weed,Cs-137,4.4,,Bq/kg-fresh
